ESTADO_CIVIL,COLEGIO_DEPA,GRADO_INSTRUCCION_MADRE,GRADO_INSTRUCCION_PADRE,NECESIDADES_EDUCATIVAS_ESPECIALES,NOTA_PROMEDIO,DOMICILIO_DEPA,ANIO_NACIMIENTO,NACIMIENTO_DEPA,SEXO,MODALIDAD,FACULTAD,ESPECIALIDAD,CICLO_RELATIVO,CATEGORIA_OBJETIVO_TARGET
1,15,6,6,0,15.01,1,1989,15,1,14,1,1,10,GRADUADO
1,2,10,3,0,15.01,15,1993,2,0,10,2,2,10,GRADUADO
1,7,4,5,0,15.01,15,1986,15,0,12,2,3,10,GRADUADO
1,15,3,4,0,15.02,1,1989,15,0,12,2,2,10,GRADUADO
1,15,1,2,0,15.02,15,1984,15,0,10,3,4,10,GRADUADO
1,12,1,8,0,15.02,15,1989,12,0,14,1,1,10,GRADUADO
1,15,3,8,0,15.02,15,1992,12,1,10,2,2,10,GRADUADO
2,15,4,7,0,15.02,15,1993,15,0,12,2,3,10,GRADUADO
1,15,3,1,0,15.02,20,1992,15,1,9,2,2,10,GRADUADO
1,15,7,3,0,15.02,15,1992,10,1,12,2,2,10,GRADUADO
1,15,3,10,0,15.02,15,1991,15,0,1,4,5,10,GRADUADO
1,15,4,4,0,15.02,15,1992,15,1,12,1,1,10,GRADUADO
1,2,3,4,0,15.02,15,1988,2,0,14,1,1,10,GRADUADO
1,15,11,4,0,15.02,15,1992,2,0,11,2,2,10,GRADUADO
1,2,2,4,0,15.03,15,1992,2,1,9,2,2,10,GRADUADO
1,15,3,3,0,15.03,1,1993,15,0,8,4,6,10,GRADUADO
1,15,4,7,0,15.03,15,1993,15,1,12,3,7,10,GRADUADO
2,15,5,7,0,15.03,1,1992,15,0,11,3,4,10,GRADUADO
1,15,4,10,1,15.03,15,1987,15,1,12,4,5,10,GRADUADO
1,15,6,3,0,15.03,15,1991,15,1,12,5,8,10,GRADUADO
1,15,8,6,0,15.03,15,1990,9,1,12,5,8,10,GRADUADO
1,15,1,4,0,15.05,15,1989,15,0,12,4,6,10,GRADUADO
1,15,6,3,0,15.05,15,1994,15,1,12,4,5,10,GRADUADO
1,15,10,4,0,15.05,21,1995,7,0,9,4,5,10,GRADUADO
1,13,3,4,0,15.05,13,1994,13,0,9,6,9,10,GRADUADO
4,15,7,3,0,15.07,1,1986,15,0,10,6,10,10,GRADUADO
4,9,1,3,0,15.07,15,1994,10,0,9,4,5,10,GRADUADO
1,15,1,5,0,15.07,1,1992,20,1,10,7,11,10,GRADUADO
2,15,1,4,0,15.07,1,1993,15,0,12,8,12,10,GRADUADO
1,15,6,9,0,15.07,1,1993,15,1,12,8,13,10,GRADUADO
1,15,6,4,0,15.07,15,1991,15,1,10,4,14,10,GRADUADO
1,15,9,4,0,15.07,1,1988,15,1,10,9,15,10,GRADUADO
2,15,9,5,0,15.09,15,1992,15,1,12,3,4,10,GRADUADO
2,13,1,4,0,15.09,1,1987,15,1,12,3,7,10,GRADUADO
1,12,3,3,0,15.09,15,1991,12,1,12,4,6,10,GRADUADO
2,15,2,5,0,15.09,15,1993,15,0,12,3,7,10,GRADUADO
4,15,4,2,0,15.09,1,1993,15,0,12,3,7,10,GRADUADO
1,15,3,1,0,15.09,15,1993,15,0,12,1,1,10,GRADUADO
1,15,4,4,0,15.09,15,1993,15,1,12,3,7,10,GRADUADO
1,15,1,1,0,15.09,1,1994,15,0,12,3,7,10,GRADUADO
1,2,8,3,0,15.1,3,1990,2,0,10,4,16,10,GRADUADO
2,15,4,5,0,15.1,15,1992,15,0,12,8,12,10,GRADUADO
2,8,4,10,0,15.1,15,1987,8,0,10,3,4,10,GRADUADO
2,15,6,3,0,15.1,15,1991,15,0,12,5,17,10,GRADUADO
1,15,4,1,0,15.1,1,1992,15,1,9,9,15,10,GRADUADO
2,15,4,8,0,15.1,15,1991,15,1,12,5,18,10,GRADUADO
1,15,6,7,0,15.1,15,1995,15,1,12,2,2,10,GRADUADO
1,15,3,4,0,15.11,1,1992,15,0,16,6,10,10,GRADUADO
1,8,8,5,0,15.11,12,1988,8,1,12,4,5,10,GRADUADO
1,15,4,3,0,15.11,1,1988,15,1,12,10,19,10,GRADUADO
1,15,1,3,0,15.11,1,1987,15,0,12,10,19,10,GRADUADO
1,15,4,7,0,15.11,15,1991,2,0,12,8,13,10,GRADUADO
1,15,4,9,0,15.11,1,1994,15,1,12,5,17,10,GRADUADO
1,15,3,4,0,15.11,1,1992,7,0,12,5,17,10,GRADUADO
1,11,4,6,0,15.11,1,1994,11,0,8,1,1,10,GRADUADO
1,15,5,10,0,15.11,15,1995,15,1,12,9,15,10,GRADUADO
1,15,4,3,0,15.12,15,1990,15,1,12,6,20,10,GRADUADO
1,8,7,1,0,15.12,1,1987,8,1,10,9,21,10,GRADUADO
1,15,4,3,0,15.12,1,1991,12,1,12,7,22,10,GRADUADO
1,15,3,4,0,15.12,15,1994,15,1,8,4,5,10,GRADUADO
1,7,4,4,0,15.12,15,1993,15,0,9,3,7,10,GRADUADO
1,7,6,10,0,15.12,1,1993,15,1,12,9,23,10,GRADUADO
2,15,3,5,0,15.12,15,1994,22,0,8,5,18,10,GRADUADO
1,15,3,9,0,15.12,1,1992,15,0,1,3,7,10,GRADUADO
1,15,10,6,0,15.12,15,1991,19,0,9,4,16,10,GRADUADO
1,5,2,4,0,15.12,15,1993,5,0,12,3,4,10,GRADUADO
1,9,2,1,0,15.12,1,1993,10,1,12,6,20,10,GRADUADO
1,15,9,4,0,15.12,15,1990,15,1,12,6,10,10,GRADUADO
1,15,6,4,0,15.12,15,1991,15,0,12,8,12,10,GRADUADO
1,15,3,1,0,15.12,1,1988,15,0,12,2,2,10,GRADUADO
1,15,8,3,0,15.13,1,1993,15,0,8,4,6,10,GRADUADO
1,7,1,3,0,15.13,7,1988,7,1,12,6,20,10,GRADUADO
1,15,2,5,0,15.13,1,1986,15,0,12,10,19,10,GRADUADO
2,8,6,1,0,15.14,1,1991,8,1,12,3,4,10,GRADUADO
1,3,4,4,0,15.14,15,1989,8,0,10,4,16,10,GRADUADO
1,11,3,4,1,15.14,15,1994,11,0,1,3,4,10,GRADUADO
1,15,3,3,1,15.14,15,1991,15,1,12,3,4,10,GRADUADO
1,15,3,5,0,15.14,15,1993,11,1,8,3,4,10,GRADUADO
1,15,4,6,0,15.14,15,1988,15,0,12,4,5,10,GRADUADO
1,10,3,6,0,15.14,15,1991,9,0,16,4,5,10,GRADUADO
1,2,1,10,0,15.14,15,1989,2,0,12,5,17,10,GRADUADO
1,7,1,8,0,15.14,7,1988,7,1,12,10,19,10,GRADUADO
1,7,4,1,0,15.14,7,1982,7,1,12,10,19,10,GRADUADO
1,15,8,7,0,15.15,1,1993,15,0,12,9,15,10,GRADUADO
1,15,1,3,0,15.15,15,1978,15,0,10,6,20,10,GRADUADO
1,7,10,2,0,15.15,15,1988,14,1,12,10,19,10,GRADUADO
1,15,6,8,0,15.15,1,1995,15,0,9,6,20,10,GRADUADO
1,15,9,1,0,15.17,1,1981,15,1,12,3,4,10,GRADUADO
1,15,6,5,0,15.17,15,1991,15,1,12,4,16,10,GRADUADO
1,15,10,4,0,15.18,15,1990,2,0,12,6,10,10,GRADUADO
1,15,3,4,0,15.18,15,1989,15,1,12,1,24,10,GRADUADO
1,15,1,4,0,15.18,15,1993,15,1,9,5,17,10,GRADUADO
2,15,5,3,0,15.18,15,1990,15,0,10,5,18,10,GRADUADO
1,15,8,8,0,15.18,15,1992,15,1,12,3,7,10,GRADUADO
1,15,4,5,0,15.18,15,1992,15,0,12,10,19,10,GRADUADO
1,15,1,5,1,15.18,1,1988,15,0,10,10,19,10,GRADUADO
1,15,4,8,0,15.18,15,1992,15,1,12,4,16,10,GRADUADO
1,15,5,3,0,15.18,1,1991,15,1,11,4,6,10,GRADUADO
1,12,7,6,0,15.18,15,1993,19,0,12,7,11,10,GRADUADO
1,15,7,4,0,15.18,1,1991,15,1,1,2,2,10,GRADUADO
1,15,3,3,0,15.2,1,1995,15,1,12,4,5,10,GRADUADO
1,15,5,3,0,15.2,1,1993,15,1,12,5,18,10,GRADUADO
1,15,4,4,0,15.2,1,1991,15,1,12,1,1,10,GRADUADO
1,15,4,10,0,15.2,1,1971,15,0,16,4,6,10,GRADUADO
1,15,6,8,0,15.2,15,1994,15,1,12,4,5,10,GRADUADO
1,12,6,4,0,15.2,10,1991,12,1,12,5,17,10,GRADUADO
1,15,10,1,0,15.2,1,1991,15,0,12,10,19,10,GRADUADO
1,15,1,5,0,15.2,15,1993,15,0,12,2,2,10,GRADUADO
1,12,6,1,0,15.21,15,1982,12,1,10,4,5,10,GRADUADO
1,6,6,4,0,15.21,15,1995,6,0,8,4,16,10,GRADUADO
1,4,3,6,0,15.21,1,1991,4,1,10,4,5,10,GRADUADO
1,11,7,4,0,15.21,1,1994,11,0,1,1,1,10,GRADUADO
1,15,4,1,0,15.22,15,1992,15,0,10,4,5,10,GRADUADO
1,15,3,6,0,15.22,15,1991,15,1,12,5,8,10,GRADUADO
1,11,3,4,0,15.22,1,1992,2,1,12,4,5,10,GRADUADO
1,2,3,4,0,15.23,15,1966,2,0,14,4,6,10,GRADUADO
1,15,4,4,0,15.23,1,1992,15,1,10,9,25,10,GRADUADO
1,15,3,8,0,15.23,1,1990,15,1,10,1,24,10,GRADUADO
1,7,10,10,1,15.23,15,1991,10,1,12,9,25,10,GRADUADO
1,12,5,5,0,15.23,15,1991,12,1,12,4,14,10,GRADUADO
1,15,5,1,0,15.23,1,1995,15,1,12,8,12,10,GRADUADO
1,15,3,3,0,15.23,1,1994,15,1,8,4,6,10,GRADUADO
1,15,8,4,0,15.23,15,1992,12,0,10,10,19,10,GRADUADO
1,15,4,8,0,15.24,13,1992,15,0,11,3,4,10,GRADUADO
1,12,3,4,0,15.24,15,1991,12,1,12,4,16,10,GRADUADO
1,15,3,3,0,15.24,1,1992,15,0,12,6,10,10,GRADUADO
1,2,3,4,0,15.24,1,1993,2,0,8,7,22,10,GRADUADO
1,15,4,6,0,15.25,15,1993,15,0,12,6,20,10,GRADUADO
1,15,12,3,0,15.25,19,1995,15,1,8,3,7,10,GRADUADO
1,16,4,4,0,15.26,15,1992,16,0,12,3,7,10,GRADUADO
1,2,10,1,0,15.26,15,1994,2,1,8,3,7,10,GRADUADO
1,15,3,9,0,15.27,1,1994,15,0,8,1,1,10,GRADUADO
1,15,8,3,0,15.27,15,1992,7,0,16,3,4,10,GRADUADO
4,11,5,3,1,15.27,15,1991,11,0,12,3,7,10,GRADUADO
1,15,6,4,0,15.27,1,1991,15,1,12,4,16,10,GRADUADO
1,15,4,3,0,15.28,15,1993,15,0,11,5,18,10,GRADUADO
4,15,1,6,0,15.28,15,1976,15,1,12,10,19,10,GRADUADO
1,14,7,5,0,15.29,12,1995,14,0,8,3,4,10,GRADUADO
1,15,5,7,0,15.29,15,1992,15,0,16,3,4,10,GRADUADO
2,15,9,3,0,15.29,15,1990,15,0,12,8,12,10,GRADUADO
1,15,4,3,0,15.29,15,1988,15,1,12,3,7,10,GRADUADO
1,15,1,3,0,15.3,15,1990,15,0,10,4,5,10,GRADUADO
1,15,3,3,0,15.3,1,1973,15,1,12,10,19,10,GRADUADO
1,15,9,12,1,15.31,15,1991,15,0,10,8,13,10,GRADUADO
1,15,10,3,0,15.31,1,1990,15,0,12,3,4,10,GRADUADO
1,15,6,8,0,15.31,15,1990,15,0,12,4,6,10,GRADUADO
2,7,3,1,0,15.32,15,1991,2,1,12,2,2,10,GRADUADO
2,15,4,3,0,15.32,1,1989,15,0,12,8,12,10,GRADUADO
1,15,6,7,0,15.32,15,1991,15,1,12,3,4,10,GRADUADO
1,15,3,4,0,15.32,15,1990,22,1,12,9,25,10,GRADUADO
1,19,6,3,0,15.32,15,1992,19,1,12,5,8,10,GRADUADO
1,15,1,5,0,15.32,15,1981,15,0,12,3,4,10,GRADUADO
1,15,1,10,0,15.33,15,1991,15,0,12,2,2,10,GRADUADO
1,15,9,4,0,15.33,15,1993,15,0,11,2,3,10,GRADUADO
1,15,10,3,1,15.33,1,1989,15,0,12,8,12,10,GRADUADO
2,7,5,7,0,15.33,5,1991,10,1,12,8,12,10,GRADUADO
1,19,4,1,0,15.33,15,1992,19,0,12,8,12,10,GRADUADO
1,15,6,6,0,15.33,1,1992,15,1,12,9,25,10,GRADUADO
1,15,4,4,0,15.33,3,1994,15,1,9,4,5,10,GRADUADO
1,15,11,4,0,15.33,1,1993,15,1,12,8,12,10,GRADUADO
1,12,4,3,0,15.33,15,1990,12,0,1,3,4,10,GRADUADO
1,15,2,6,0,15.33,1,1993,15,0,12,9,21,10,GRADUADO
1,15,9,4,0,15.34,1,1986,19,1,12,5,17,10,GRADUADO
2,15,5,3,0,15.34,1,1990,15,1,10,8,13,10,GRADUADO
1,15,5,3,0,15.34,15,1989,15,0,12,1,26,10,GRADUADO
1,16,3,4,0,15.34,15,1993,16,1,12,1,24,10,GRADUADO
1,15,3,3,0,15.35,1,1992,15,0,12,1,24,10,GRADUADO
2,12,1,3,0,15.35,15,1990,12,0,12,1,24,10,GRADUADO
1,19,1,5,0,15.35,15,1990,12,1,12,5,18,10,GRADUADO
1,15,4,5,0,15.35,15,1992,15,0,1,1,24,10,GRADUADO
1,15,5,8,0,15.35,15,1992,15,1,1,5,18,10,GRADUADO
1,15,1,11,0,15.35,15,1991,15,0,12,4,16,10,GRADUADO
